Epoch, Ratio of 1s (if random), Location of ASM (if needed), Accuracy, Loss
1, , conv1, 0.6029940247535706, 0.011609988512393244 
2, , conv1, 0.796407163143158, 0.006655169639758721 
3, , conv1, 0.8742514848709106, 0.00415949680491122 
4, , conv1, 0.8928143978118896, 0.003179382546219283 
5, , conv1, 0.9119760394096375, 0.002522444220895539 
6, , conv1, 0.9197604656219482, 0.0022139984958186123 
7, , conv1, 0.9263473153114319, 0.001969952024742515 
8, , conv1, 0.9323353171348572, 0.0018453412271009948 
9, , conv1, 0.9359281659126282, 0.0017310793595221227 
10, , conv1, 0.9413173794746399, 0.0015946869007841555 
11, , conv1, 0.946107804775238, 0.0015128861198168315 
12, , conv1, 0.9449101686477661, 0.001480435827624298 
13, , conv1, 0.9520958065986633, 0.0013606612408857146 
14, , conv1, 0.9497005939483643, 0.001332924780463744 
15, , conv1, 0.9491018056869507, 0.0013028426040075497 
16, , conv1, 0.9514970183372498, 0.0012552496257745578 
17, , conv1, 0.9562874436378479, 0.0011716664350496795 
18, , conv1, 0.957485020160675, 0.001121279201330896 
19, , conv1, 0.955089807510376, 0.0011453035527360653 
20, , conv1, 0.957485020160675, 0.0011137785763663804 
21, , conv1, 0.9592814445495605, 0.0010713301939209421 
22, , conv1, 0.958682656288147, 0.0010610845268977259 
23, , conv1, 0.9598802328109741, 0.0010564695815081725 
24, , conv1, 0.9592814445495605, 0.0010265845749638752 
25, , conv1, 0.9598802328109741, 0.001023558931547903 
26, , conv1, 0.958682656288147, 0.0010311953143445317 
27, , conv1, 0.958682656288147, 0.0010356968765085686 
28, , conv1, 0.9598802328109741, 0.0010348594028078868 
29, , conv1, 0.9598802328109741, 0.0010514678338732191 
30, , conv1, 0.9598802328109741, 0.0010345590094517092 
31, , maxpool, 0.6011976003646851, 0.011570944186456189 
32, , maxpool, 0.8029940128326416, 0.0066166362719621485 
33, , maxpool, 0.8790419101715088, 0.004103350960565898 
34, , maxpool, 0.8988023996353149, 0.0031184543660300935 
35, , maxpool, 0.916167676448822, 0.0024669305070074733 
36, , maxpool, 0.9227544665336609, 0.0021585879211654204 
37, , maxpool, 0.9305388927459717, 0.0019163937045785482 
38, , maxpool, 0.9371257424354553, 0.0017982059855482535 
39, , maxpool, 0.9383233785629272, 0.0016904982130327624 
40, , maxpool, 0.943712592124939, 0.00156290878480423 
41, , maxpool, 0.946107804775238, 0.0014717299625009834 
42, , maxpool, 0.9473053812980652, 0.001441487509333445 
43, , maxpool, 0.9526945948600769, 0.0013245672032147825 
44, , maxpool, 0.9520958065986633, 0.0012943694747225966 
45, , maxpool, 0.955089807510376, 0.0012620823613986997 
46, , maxpool, 0.9538922309875488, 0.0012144563329255509 
47, , maxpool, 0.958682656288147, 0.0011368487242185428 
48, , maxpool, 0.957485020160675, 0.0010891904875993015 
49, , maxpool, 0.957485020160675, 0.001110528357059299 
50, , maxpool, 0.9562874436378479, 0.0010920625118661426 
51, , maxpool, 0.9592814445495605, 0.001049412707770299 
52, , maxpool, 0.9604790210723877, 0.001038417709757111 
53, , maxpool, 0.9592814445495605, 0.0010324063945093198 
54, , maxpool, 0.9598802328109741, 0.0010042936440758006 
55, , maxpool, 0.9604790210723877, 0.0009980523724577384 
56, , maxpool, 0.9598802328109741, 0.0010070147617402192 
57, , maxpool, 0.958682656288147, 0.0010107665568099408 
58, , maxpool, 0.9598802328109741, 0.0010070201065279767 
59, , maxpool, 0.9604790210723877, 0.0010247338206289772 
60, , maxpool, 0.9598802328109741, 0.0010099711515634002 
61, , layer1.1.conv2, 0.6029940247535706, 0.01154467074457043 
62, , layer1.1.conv2, 0.8071856498718262, 0.0065930039939766155 
63, , layer1.1.conv2, 0.8814371228218079, 0.0040913365022864885 
64, , layer1.1.conv2, 0.9005988240242004, 0.0031012877465008263 
65, , layer1.1.conv2, 0.9149700403213501, 0.002455626722581372 
66, , layer1.1.conv2, 0.9239521026611328, 0.0021523743154046064 
67, , layer1.1.conv2, 0.9305388927459717, 0.001915415398731917 
68, , layer1.1.conv2, 0.9359281659126282, 0.0017917783875129893 
69, , layer1.1.conv2, 0.9395209550857544, 0.0016828433883761217 
70, , layer1.1.conv2, 0.9455089569091797, 0.0015596196033105165 
71, , layer1.1.conv2, 0.9467065930366516, 0.001471625768138977 
72, , layer1.1.conv2, 0.9491018056869507, 0.0014403164386749268 
73, , layer1.1.conv2, 0.9520958065986633, 0.0013269756279305784 
74, , layer1.1.conv2, 0.9514970183372498, 0.0012949082197364933 
75, , layer1.1.conv2, 0.9538922309875488, 0.0012589481441739076 
76, , layer1.1.conv2, 0.9526945948600769, 0.0012136945099441591 
77, , layer1.1.conv2, 0.9562874436378479, 0.0011405959993065473 
78, , layer1.1.conv2, 0.957485020160675, 0.0010938113666847794 
79, , layer1.1.conv2, 0.9568862318992615, 0.00111753130164332 
80, , layer1.1.conv2, 0.9568862318992615, 0.001088559772529288 
81, , layer1.1.conv2, 0.9580838084220886, 0.0010482831384072046 
82, , layer1.1.conv2, 0.9592814445495605, 0.0010360345684973422 
83, , layer1.1.conv2, 0.9598802328109741, 0.0010343904880260278 
84, , layer1.1.conv2, 0.9598802328109741, 0.0010065415310868604 
85, , layer1.1.conv2, 0.9598802328109741, 0.0009984958269995843 
86, , layer1.1.conv2, 0.9598802328109741, 0.0010083021300504665 
87, , layer1.1.conv2, 0.9580838084220886, 0.0010118247132502986 
88, , layer1.1.conv2, 0.9604790210723877, 0.0010076702862397997 
89, , layer1.1.conv2, 0.958682656288147, 0.001027441402328407 
90, , layer1.1.conv2, 0.9598802328109741, 0.0010123162931890903 
91, , layer2.1.conv2, 0.6071856021881104, 0.011549530843060887 
92, , layer2.1.conv2, 0.8119760751724243, 0.006538215654338905 
93, , layer2.1.conv2, 0.8850299119949341, 0.004037823969732501 
94, , layer2.1.conv2, 0.9029940366744995, 0.0030543518459011693 
95, , layer2.1.conv2, 0.9197604656219482, 0.0024047236198079802 
96, , layer2.1.conv2, 0.92514967918396, 0.0021031943534662624 
97, , layer2.1.conv2, 0.9335329532623291, 0.0018698252559065105 
98, , layer2.1.conv2, 0.9371257424354553, 0.0017452271420977073 
99, , layer2.1.conv2, 0.942514955997467, 0.001628555605065323 
100, , layer2.1.conv2, 0.9479041695594788, 0.0015142476398073985 
101, , layer2.1.conv2, 0.9497005939483643, 0.0014344432731409986 
102, , layer2.1.conv2, 0.9497005939483643, 0.0013918374291437114 
103, , layer2.1.conv2, 0.9514970183372498, 0.00128464235472465 
104, , layer2.1.conv2, 0.9526945948600769, 0.0012498822888571345 
105, , layer2.1.conv2, 0.9538922309875488, 0.0012178744429242824 
106, , layer2.1.conv2, 0.955089807510376, 0.0011706355479573776 
107, , layer2.1.conv2, 0.9556885957717896, 0.0011085683546826512 
108, , layer2.1.conv2, 0.9556885957717896, 0.0010690429989627735 
109, , layer2.1.conv2, 0.955089807510376, 0.0010856117540133927 
110, , layer2.1.conv2, 0.9562874436378479, 0.0010591893618602953 
111, , layer2.1.conv2, 0.9580838084220886, 0.001013402769085533 
112, , layer2.1.conv2, 0.9568862318992615, 0.001008556956637227 
113, , layer2.1.conv2, 0.958682656288147, 0.0010071114034665202 
114, , layer2.1.conv2, 0.958682656288147, 0.0009748727724536093 
115, , layer2.1.conv2, 0.9580838084220886, 0.0009710953085722324 
116, , layer2.1.conv2, 0.9592814445495605, 0.0009773031440368312 
117, , layer2.1.conv2, 0.957485020160675, 0.000982314235012153 
118, , layer2.1.conv2, 0.958682656288147, 0.0009795037996090815 
119, , layer2.1.conv2, 0.958682656288147, 0.000995185208356309 
120, , layer2.1.conv2, 0.9598802328109741, 0.0009826602687512686 
121, , layer3.1.conv2, 0.6119760274887085, 0.011600233980281625 
122, , layer3.1.conv2, 0.8227545022964478, 0.006510424899483869 
123, , layer3.1.conv2, 0.8952096104621887, 0.003963486056127948 
124, , layer3.1.conv2, 0.910179615020752, 0.0029658739973684985 
125, , layer3.1.conv2, 0.9209581017494202, 0.002336090722840703 
126, , layer3.1.conv2, 0.9281437397003174, 0.0020269401103793503 
127, , layer3.1.conv2, 0.9365269541740417, 0.0018079705224065723 
128, , layer3.1.conv2, 0.940119743347168, 0.0016695988548551491 
129, , layer3.1.conv2, 0.942514955997467, 0.0015648356365586468 
130, , layer3.1.conv2, 0.9467065930366516, 0.001463854580582259 
131, , layer3.1.conv2, 0.9508982300758362, 0.0013794270572726598 
132, , layer3.1.conv2, 0.9491018056869507, 0.0013365781659673073 
133, , layer3.1.conv2, 0.9520958065986633, 0.0012388504952370763 
134, , layer3.1.conv2, 0.9538922309875488, 0.0011939874476569142 
135, , layer3.1.conv2, 0.955089807510376, 0.0011748281201559626 
136, , layer3.1.conv2, 0.9556885957717896, 0.001127366527558087 
137, , layer3.1.conv2, 0.9562874436378479, 0.0010639363219459613 
138, , layer3.1.conv2, 0.9556885957717896, 0.001024744843696049 
139, , layer3.1.conv2, 0.955089807510376, 0.0010505877468668058 
140, , layer3.1.conv2, 0.9568862318992615, 0.0010243223333162462 
141, , layer3.1.conv2, 0.958682656288147, 0.0009729920094553939 
