Epoch, Ratio of 1s (if random), Location of ASM (if needed), Accuracy, Loss
1, , conv1, 0.09875286370515823, 0.016507634530391484 
2, , conv1, 0.2323746532201767, 0.015517159920971822 
3, , conv1, 0.2865869104862213, 0.015122540217375567 
4, , conv1, 0.2881140112876892, 0.014938327974264603 
5, , conv1, 0.30872994661331177, 0.014644008460740274 
6, , conv1, 0.3122932016849518, 0.014751936164209332 
7, , conv1, 0.3206923007965088, 0.014536614513906943 
8, , conv1, 0.3324001133441925, 0.014594322672082013 
9, , conv1, 0.3405446708202362, 0.014455640306907259 
10, , conv1, 0.35250699520111084, 0.01430614196668602 
11, , conv1, 0.34283533692359924, 0.014668428403301438 
12, , conv1, 0.35097989439964294, 0.014493777540143315 
13, , conv1, 0.36421480774879456, 0.014517018163316454 
14, , conv1, 0.3588699400424957, 0.014817015516087433 
15, , conv1, 0.3647238612174988, 0.014773770047981765 
16, , conv1, 0.37744972109794617, 0.014558806116570648 
17, , conv1, 0.38508525490760803, 0.014724883589619563 
18, , conv1, 0.3861033320426941, 0.015076779961191568 
19, , conv1, 0.37694069743156433, 0.015344893941444792 
20, , conv1, 0.38864850997924805, 0.014861299317130061 
21, , conv1, 0.39195725321769714, 0.015142886928093284 
22, , conv1, 0.4013743996620178, 0.014875208764138129 
23, , conv1, 0.40646475553512573, 0.01467100146102614 
24, , conv1, 0.40188342332839966, 0.015042996218441764 
25, , conv1, 0.4057011902332306, 0.015001453760775272 
26, , conv1, 0.40341052412986755, 0.015080420577699035 
27, , conv1, 0.4039195775985718, 0.015079294256230715 
28, , conv1, 0.4006108343601227, 0.01509016143150019 
29, , conv1, 0.40315601229667664, 0.01491189389836852 
30, , conv1, 0.4054466784000397, 0.014935497375625665 
31, , maxpool, 0.09289895743131638, 0.016217805587417086 
32, , maxpool, 0.2501908838748932, 0.015268559855157468 
33, , maxpool, 0.2962585985660553, 0.015029568501057652 
34, , maxpool, 0.30211248993873596, 0.015039304219666072 
35, , maxpool, 0.31814712285995483, 0.014753957655205924 
36, , maxpool, 0.31992873549461365, 0.014804268223118557 
37, , maxpool, 0.3308729827404022, 0.014542377216575041 
38, , maxpool, 0.33825400471687317, 0.014665292036930821 
39, , maxpool, 0.33952659368515015, 0.014711010635096356 
40, , maxpool, 0.351997971534729, 0.014463081891435374 
41, , maxpool, 0.3499618172645569, 0.014688510298880648 
42, , maxpool, 0.3550521731376648, 0.014649608930761076 
43, , maxpool, 0.36396029591560364, 0.014705333341985418 
44, , maxpool, 0.3647238612174988, 0.014967117442463335 
45, , maxpool, 0.37083226442337036, 0.014689199370444656 
46, , maxpool, 0.38203105330467224, 0.0144106757097737 
47, , maxpool, 0.3929753005504608, 0.014522088092834054 
48, , maxpool, 0.39170271158218384, 0.014879040209565583 
49, , maxpool, 0.3817765414714813, 0.01515652961056176 
50, , maxpool, 0.39552047848701477, 0.014688773141862418 
51, , maxpool, 0.39170271158218384, 0.015133745769229849 
52, , maxpool, 0.40035632252693176, 0.01483639875997202 
53, , maxpool, 0.41180962324142456, 0.014501780688717153 
54, , maxpool, 0.4039195775985718, 0.014925752645778001 
55, , maxpool, 0.40799185633659363, 0.01475143153481157 
56, , maxpool, 0.4077373445034027, 0.014850175799410833 
57, , maxpool, 0.4095189571380615, 0.014824293176464587 
58, , maxpool, 0.40697377920150757, 0.014874603433383272 
59, , maxpool, 0.40977346897125244, 0.014737401657293819 
60, , maxpool, 0.4107915461063385, 0.01475106158096331 
61, , layer1.1.conv2, 0.0768643394112587, 0.017518922766221634 
62, , layer1.1.conv2, 0.23771952092647552, 0.01678874323343193 
63, , layer1.1.conv2, 0.2713158428668976, 0.01668915969477746 
64, , layer1.1.conv2, 0.28684142231941223, 0.016883529273266404 
65, , layer1.1.conv2, 0.2975311875343323, 0.016581047154710808 
66, , layer1.1.conv2, 0.30389413237571716, 0.01669102365596205 
67, , layer1.1.conv2, 0.31025707721710205, 0.016363794004440792 
68, , layer1.1.conv2, 0.31509289145469666, 0.016567469067960697 
69, , layer1.1.conv2, 0.31789258122444153, 0.01655997314292925 
70, , layer1.1.conv2, 0.3237465023994446, 0.016303361326903597 
71, , layer1.1.conv2, 0.3270552158355713, 0.01624454026551124 
72, , layer1.1.conv2, 0.3288368582725525, 0.016689380015025887 
73, , layer1.1.conv2, 0.3351998031139374, 0.016431186028672527 
74, , layer1.1.conv2, 0.3372359275817871, 0.016379516417211356 
