Epoch, Ratio of 1s (if random), Location of ASM (if needed), K (if needed), Accuracy, Loss
1, , conv1, , 0.3071672320365906, 0.014848560043976168 
2, , conv1, , 0.41296929121017456, 0.01314496846532659 
3, , conv1, , 0.4360068142414093, 0.012171687882508027 
4, , conv1, , 0.4505119323730469, 0.011689070116334402 
5, , conv1, , 0.4692832827568054, 0.011321600908000315 
6, , conv1, , 0.47909554839134216, 0.010994291969228524 
7, , conv1, , 0.4854948818683624, 0.010889762039884366 
8, , conv1, , 0.49018770456314087, 0.010859655318050662 
9, , conv1, , 0.4987201392650604, 0.010685465034771292 
10, , conv1, , 0.5085324048995972, 0.010616256508963506 
11, , conv1, , 0.5115187764167786, 0.010610978694397435 
12, , conv1, , 0.5230375528335571, 0.010432693942008166 
13, , conv1, , 0.5273037552833557, 0.010326268380259898 
14, , conv1, , 0.5200511813163757, 0.010594989560900492 
15, , conv1, , 0.5302901268005371, 0.01041891348290769 
16, , conv1, , 0.5460751056671143, 0.010201686462419228 
17, , conv1, , 0.5273037552833557, 0.010652323485488778 
18, , conv1, , 0.5328498482704163, 0.010414585820796546 
19, , conv1, , 0.5409556031227112, 0.010395749618296127 
20, , conv1, , 0.5443686246871948, 0.010469364771562224 
21, , conv1, , 0.5422354936599731, 0.010503401766839492 
22, , conv1, , 0.55162113904953, 0.01020240113329867 
23, , conv1, , 0.552901029586792, 0.010453061896786348 
24, , conv1, , 0.5503413081169128, 0.01057613408351921 
25, , conv1, , 0.5537542700767517, 0.010436292044792973 
26, , conv1, , 0.5494880676269531, 0.010613201433989783 
27, , conv1, , 0.552901029586792, 0.01048641482768612 
28, , conv1, , 0.55162113904953, 0.010579460160647846 
29, , conv1, , 0.5507678985595703, 0.010566097735061784 
30, , conv1, , 0.5477815866470337, 0.010605065638371092 
31, , conv1, , 0.30887371301651, 0.014851458345256975 
32, , conv1, , 0.4133959114551544, 0.013141997031384361 
33, , conv1, , 0.4432593882083893, 0.01195266497013105 
34, , conv1, , 0.4552047848701477, 0.01165410268530504 
35, , conv1, , 0.46501705050468445, 0.011421005931323705 
36, , conv1, , 0.4748293459415436, 0.011224685319454596 
37, , conv1, , 0.48634812235832214, 0.010875076589527391 
38, , conv1, , 0.49445393681526184, 0.010767578938817001 
39, , conv1, , 0.49658703804016113, 0.010789235030323165 
40, , conv1, , 0.5093856453895569, 0.01054889451928513 
41, , conv1, , 0.519197940826416, 0.010371013439606887 
42, , conv1, , 0.5136518478393555, 0.010599146460408644 
43, , conv1, , 0.5273037552833557, 0.010399214042916436 
44, , conv1, , 0.5418089032173157, 0.010196801618301015 
45, , conv1, , 0.5247440338134766, 0.010606262680308403 
46, , conv1, , 0.5332764387130737, 0.010364345904223544 
47, , conv1, , 0.5375426411628723, 0.010343726813386325 
48, , conv1, , 0.539675772190094, 0.01044387251469259 
49, , conv1, , 0.539675772190094, 0.010461244102783578 
50, , conv1, , 0.5503413081169128, 0.010136392975143401 
51, , conv1, , 0.5473549365997314, 0.010427289146535837 
52, , conv1, , 0.5473549365997314, 0.010536456712658291 
53, , conv1, , 0.546928346157074, 0.010491931184795732 
54, , conv1, , 0.5426621437072754, 0.010744344992976343 
55, , conv1, , 0.5482081770896912, 0.010572373209069817 
56, , conv1, , 0.5482081770896912, 0.010643984747370355 
57, , conv1, , 0.5482081770896912, 0.010621614754199982 
58, , conv1, , 0.5452218651771545, 0.010643987712981147 
59, , conv1, , 0.5499146580696106, 0.010611444524149236 
60, , conv1, , 0.5503413081169128, 0.010559712288704138 
61, , maxpool, , 0.31569966673851013, 0.014850892457132047 
62, , maxpool, , 0.3971843123435974, 0.013252779688851418 
63, , maxpool, , 0.4257679283618927, 0.012174747401130077 
64, , maxpool, , 0.43558019399642944, 0.011985815654639092 
65, , maxpool, , 0.4449658691883087, 0.011733517038028801 
66, , maxpool, , 0.45477816462516785, 0.011610797050157912 
67, , maxpool, , 0.46800342202186584, 0.011254878663823466 
68, , maxpool, , 0.4795221984386444, 0.01115120700703546 
69, , maxpool, , 0.48506826162338257, 0.011177810226843625 
70, , maxpool, , 0.4978668987751007, 0.010925223097306876 
71, , maxpool, , 0.5063993334770203, 0.010766973312143173 
72, , maxpool, , 0.49658703804016113, 0.011037923465562354 
73, , maxpool, , 0.5153583884239197, 0.010789974850090697 
74, , maxpool, , 0.5243173837661743, 0.010578588563503868 
75, , maxpool, , 0.5149317383766174, 0.010938323636892103 
76, , maxpool, , 0.5238907933235168, 0.010650121072885729 
77, , maxpool, , 0.5307167172431946, 0.010617322348846511 
78, , maxpool, , 0.5302901268005371, 0.010756477986942379 
79, , maxpool, , 0.5345563292503357, 0.010774654724059862 
80, , maxpool, , 0.5443686246871948, 0.01041549112991058 
81, , maxpool, , 0.5409556031227112, 0.010722593582352884 
82, , maxpool, , 0.5388225317001343, 0.01079587425095738 
83, , maxpool, , 0.5430887341499329, 0.01075949338058156 
84, , maxpool, , 0.5358361601829529, 0.010997972878668801 
85, , maxpool, , 0.5418089032173157, 0.01080578900619375 
86, , maxpool, , 0.539675772190094, 0.010902074812482343 
87, , maxpool, , 0.5426621437072754, 0.010906552233170629 
88, , maxpool, , 0.5413822531700134, 0.010909394966597341 
89, , maxpool, , 0.5413822531700134, 0.010853440694688937 
90, , maxpool, , 0.5443686246871948, 0.01080979064818942 
