Epoch, Ratio of 1s (if random), Location of ASM (if needed), K (if needed), Accuracy, Loss
1, , conv1, 10, 0.2969283163547516, 0.029401869649773166 
2, , conv1, 5, 0.41211605072021484, 0.026080790894430245 
3, , conv1, 5, 0.4300341308116913, 0.02414741822273658 
4, , conv1, 5, 0.4552047848701477, 0.02279874974855384 
5, , conv1, 5, 0.46501705050468445, 0.022321104825356715 
6, , conv1, 5, 0.47738906741142273, 0.021772385889556222 
7, , conv1, 5, 0.480802059173584, 0.021640576129785576 
8, , conv1, 5, 0.4961604177951813, 0.020991420169891757 
9, , conv1, 5, 0.5085324048995972, 0.02072255593746799 
10, , conv1, 5, 0.5115187764167786, 0.020781170436953524 
11, , conv1, 5, 0.5213310718536377, 0.020420311260396302 
12, , conv1, 5, 0.5315699577331543, 0.020106262104655697 
13, , conv1, 5, 0.5149317383766174, 0.020708546385728457 
14, , conv1, 5, 0.533703088760376, 0.02029787165147758 
15, , conv1, 5, 0.5511945486068726, 0.01958881440944334 
16, , conv1, 5, 0.5298634767532349, 0.020821463157750235 
17, , conv1, 5, 0.538395881652832, 0.02016880889598013 
18, , conv1, 5, 0.546928346157074, 0.020191225798565374 
19, , conv1, 5, 0.538395881652832, 0.020754958162840724 
20, , conv1, 5, 0.5418089032173157, 0.02053422593661034 
21, , conv1, 5, 0.5605801939964294, 0.019341364213656443 
22, , conv1, 5, 0.5567406415939331, 0.020023827622215495 
23, , conv1, 5, 0.5554607510566711, 0.020189191442008415 
24, , conv1, 5, 0.5593003630638123, 0.019923445813154403 
25, , conv1, 5, 0.5418089032173157, 0.02099655295560079 
26, , conv1, 5, 0.5614334344863892, 0.020001480457573214 
27, , conv1, 5, 0.5494880676269531, 0.020644348653497447 
28, , conv1, 5, 0.5473549365997314, 0.020635413682984615 
29, , conv1, 5, 0.5486348271369934, 0.020667980814435275 
30, , conv1, 5, 0.5554607510566711, 0.020376874041765827 
31, , maxpool, 5, 0.305887371301651, 0.029347892354779682 
32, , maxpool, 5, 0.39889079332351685, 0.026192949188447244 
33, , maxpool, 5, 0.42619454860687256, 0.024033020050249 
34, , maxpool, 5, 0.4351535737514496, 0.02367319843061141 
35, , maxpool, 5, 0.44368600845336914, 0.0229323743349863 
36, , maxpool, 5, 0.4564846456050873, 0.022826324741486395 
37, , maxpool, 5, 0.47184300422668457, 0.02201256114010518 
38, , maxpool, 5, 0.483788400888443, 0.021708276122808456 
39, , maxpool, 5, 0.486774742603302, 0.021772949196677972 
40, , maxpool, 5, 0.5029863715171814, 0.021307226149651377 
41, , maxpool, 5, 0.5110921263694763, 0.020961759974321814 
42, , maxpool, 5, 0.497013658285141, 0.021635766452617004 
43, , maxpool, 5, 0.5140784978866577, 0.0210658577890628 
44, , maxpool, 5, 0.5328498482704163, 0.02039496921346151 
45, , maxpool, 5, 0.5153583884239197, 0.021533830110428684 
46, , maxpool, 5, 0.5294368863105774, 0.02077678979434861 
47, , maxpool, 5, 0.5315699577331543, 0.02082044803839393 
48, , maxpool, 5, 0.5268771052360535, 0.021442552647035276 
49, , maxpool, 5, 0.5332764387130737, 0.021153797637099087 
