Epoch, Ratio of 1s (if random), Location of ASM (if needed), K (if needed), Accuracy, Loss
1, , conv1, 5, 0.09315347671508789, 0.03343116672750829 
2, , conv1, 5, 0.2272842973470688, 0.031112770780591024 
3, , conv1, 5, 0.2893866002559662, 0.030270341760058172 
4, , conv1, 5, 0.28531432151794434, 0.029913189090156896 
5, , conv1, 5, 0.3128022253513336, 0.029056064164435236 
6, , conv1, 5, 0.31025707721710205, 0.02946200204520591 
7, , conv1, 5, 0.3270552158355713, 0.028878679588630503 
8, , conv1, 5, 0.3374904692173004, 0.02891389472274023 
9, , conv1, 5, 0.3456350266933441, 0.028639877440213974 
10, , conv1, 5, 0.3629422187805176, 0.028521925597798887 
11, , conv1, 5, 0.3537795841693878, 0.02914824507624237 
12, , conv1, 5, 0.35759735107421875, 0.02877717571544963 
13, , conv1, 5, 0.3743955194950104, 0.02869094021904708 
14, , conv1, 5, 0.36726903915405273, 0.029184100099361163 
15, , conv1, 5, 0.37566810846328735, 0.02914351544995501 
16, , conv1, 5, 0.38712140917778015, 0.028428319635874263 
17, , conv1, 5, 0.3927207887172699, 0.029130149916189868 
18, , conv1, 5, 0.39501145482063293, 0.029758639889656664 
19, , conv1, 5, 0.38050395250320435, 0.030323823070550395 
20, , conv1, 5, 0.3975566327571869, 0.029347235569671143 
21, , conv1, 5, 0.3896665871143341, 0.030449638630057996 
22, , conv1, 5, 0.40035632252693176, 0.02982820483618154 
23, , conv1, 5, 0.4158819019794464, 0.02877863459564038 
24, , conv1, 5, 0.4090099334716797, 0.02949776788132887 
25, , conv1, 5, 0.4186815917491913, 0.02892449380605692 
26, , conv1, 5, 0.4090099334716797, 0.02951020126762691 
27, , conv1, 5, 0.4107915461063385, 0.029621115696281536 
28, , conv1, 5, 0.4077373445034027, 0.02954832583354854 
29, , conv1, 5, 0.4125731885433197, 0.028909380986933856 
30, , conv1, 5, 0.4158819019794464, 0.029200760871892547 
31, , maxpool, 5, 0.0883176401257515, 0.032691585468438845 
32, , maxpool, 5, 0.2524815499782562, 0.03065611303353255 
33, , maxpool, 5, 0.300839900970459, 0.03015448210287349 
34, , maxpool, 5, 0.3010944128036499, 0.03011346937409185 
35, , maxpool, 5, 0.3242555260658264, 0.029139480386929647 
36, , maxpool, 5, 0.32018324732780457, 0.02951594854196115 
37, , maxpool, 5, 0.3357088267803192, 0.028873045470581678 
38, , maxpool, 5, 0.3418172597885132, 0.02907848297472551 
39, , maxpool, 5, 0.347162127494812, 0.028927020062985205 
40, , maxpool, 5, 0.3601425290107727, 0.028542535121157505 
41, , maxpool, 5, 0.3547976613044739, 0.02911494784938922 
42, , maxpool, 5, 0.3553066849708557, 0.029112808939214578 
43, , maxpool, 5, 0.37261390686035156, 0.029055744523339432 
44, , maxpool, 5, 0.37083226442337036, 0.029422793263362303 
45, , maxpool, 5, 0.37694069743156433, 0.029061731475398995 
46, , maxpool, 5, 0.3909391760826111, 0.0282019106265879 
47, , maxpool, 5, 0.39832019805908203, 0.028828782976417028 
48, , maxpool, 5, 0.39552047848701477, 0.02946279556522481 
49, , maxpool, 5, 0.3843217194080353, 0.029985673132061685 
50, , maxpool, 5, 0.40366506576538086, 0.028761591611548093 
51, , maxpool, 5, 0.392466276884079, 0.030209653233110405 
52, , maxpool, 5, 0.40468311309814453, 0.029487505217610684 
53, , maxpool, 5, 0.42479002475738525, 0.028406429196714777 
54, , maxpool, 5, 0.40977346897125244, 0.02957433974903696 
55, , maxpool, 5, 0.4306439161300659, 0.028456804330004904 
56, , maxpool, 5, 0.4153728783130646, 0.02922680108533254 
57, , maxpool, 5, 0.4204632341861725, 0.029244195075397973 
58, , maxpool, 5, 0.4128277003765106, 0.029267490289386643 
59, , maxpool, 5, 0.42326292395591736, 0.028627270428270866 
60, , maxpool, 5, 0.42479002475738525, 0.02896333462896466 
61, , layer1.1.conv2, 5, 0.07279206067323685, 0.03564445412350114 
62, , layer1.1.conv2, 5, 0.23873759806156158, 0.03382323661448847 
63, , layer1.1.conv2, 5, 0.2736065089702606, 0.03328602900787843 
64, , layer1.1.conv2, 5, 0.2850598096847534, 0.0337996412458296 
65, , layer1.1.conv2, 5, 0.299567312002182, 0.032777104980923136 
66, , layer1.1.conv2, 5, 0.30491217970848083, 0.03304721005061832 
67, , layer1.1.conv2, 5, 0.3097480237483978, 0.032393862376476436 
68, , layer1.1.conv2, 5, 0.3171290457248688, 0.03264285159432636 
69, , layer1.1.conv2, 5, 0.32018324732780457, 0.03235796378386418 
70, , layer1.1.conv2, 5, 0.3275642693042755, 0.03198763122082849 
71, , layer1.1.conv2, 5, 0.3321455717086792, 0.03197665692710731 
72, , layer1.1.conv2, 5, 0.32960039377212524, 0.0327428068390145 
73, , layer1.1.conv2, 5, 0.3369814157485962, 0.032545981348911054 
74, , layer1.1.conv2, 5, 0.3407991826534271, 0.031910146881709366 
75, , layer1.1.conv2, 5, 0.33927208185195923, 0.03254806508420836 
76, , layer1.1.conv2, 5, 0.348434716463089, 0.03163111702908569 
77, , layer1.1.conv2, 5, 0.35428863763809204, 0.03240231244610781 
78, , layer1.1.conv2, 5, 0.3550521731376648, 0.033104148293973595 
79, , layer1.1.conv2, 5, 0.350725382566452, 0.03338057227521854 
80, , layer1.1.conv2, 5, 0.35785186290740967, 0.0325315060673794 
81, , layer1.1.conv2, 5, 0.35123440623283386, 0.033941782242956284 
82, , layer1.1.conv2, 5, 0.3634512722492218, 0.03305776013342531 
83, , layer1.1.conv2, 5, 0.36090609431266785, 0.03329425840075612 
84, , layer1.1.conv2, 5, 0.3537795841693878, 0.034615574924658804 
85, , layer1.1.conv2, 5, 0.3682870864868164, 0.03294556912012943 
86, , layer1.1.conv2, 5, 0.3581063747406006, 0.03406688376036149 
87, , layer1.1.conv2, 5, 0.35759735107421875, 0.034101660662281146 
88, , layer1.1.conv2, 5, 0.35937896370887756, 0.03387741112290341 
89, , layer1.1.conv2, 5, 0.36090609431266785, 0.033207324745698145 
90, , layer1.1.conv2, 5, 0.3621786832809448, 0.033617391294879624 
91, , layer2.1.conv2, 5, 0.10282514989376068, 0.03581936497759898 
92, , layer2.1.conv2, 5, 0.2323746532201767, 0.033718981977090424 
93, , layer2.1.conv2, 5, 0.2534996271133423, 0.03271591545031192 
94, , layer2.1.conv2, 5, 0.26571646332740784, 0.03333665590973172 
95, , layer2.1.conv2, 5, 0.28098753094673157, 0.03220962925884492 
96, , layer2.1.conv2, 5, 0.29091373085975647, 0.03248881146816177 
97, , layer2.1.conv2, 5, 0.29702213406562805, 0.031824992976743294 
98, , layer2.1.conv2, 5, 0.30516672134399414, 0.032052754566972264 
99, , layer2.1.conv2, 5, 0.3122932016849518, 0.03191316106538489 
100, , layer2.1.conv2, 5, 0.32680070400238037, 0.031503370197167015 
101, , layer2.1.conv2, 5, 0.32781878113746643, 0.03193939129612652 
102, , layer2.1.conv2, 5, 0.3306184709072113, 0.031903810888248174 
103, , layer2.1.conv2, 5, 0.34258079528808594, 0.03160642545986005 
104, , layer2.1.conv2, 5, 0.34156274795532227, 0.03196753858458028 
105, , layer2.1.conv2, 5, 0.351997971534729, 0.03182028947394748 
106, , layer2.1.conv2, 5, 0.3637057840824127, 0.030921159900457507 
107, , layer2.1.conv2, 5, 0.3731229305267334, 0.031195792602078852 
108, , layer2.1.conv2, 5, 0.3751590847969055, 0.031894831112487594 
109, , layer2.1.conv2, 5, 0.36574190855026245, 0.03267991991861081 
110, , layer2.1.conv2, 5, 0.3733774423599243, 0.03161791654966902 
111, , layer2.1.conv2, 5, 0.3644693195819855, 0.03339345899208352 
112, , layer2.1.conv2, 5, 0.3797403872013092, 0.03271501059445998 
113, , layer2.1.conv2, 5, 0.3945024311542511, 0.031243321169845687 
114, , layer2.1.conv2, 5, 0.3866123557090759, 0.03261930317816828 
115, , layer2.1.conv2, 5, 0.3962840437889099, 0.031525940825599966 
116, , layer2.1.conv2, 5, 0.38864850997924805, 0.03245233919032508 
117, , layer2.1.conv2, 5, 0.3932298421859741, 0.032340713988797114 
118, , layer2.1.conv2, 5, 0.387630432844162, 0.03253850340084679 
119, , layer2.1.conv2, 5, 0.39195725321769714, 0.03165648247668324 
120, , layer2.1.conv2, 5, 0.39552047848701477, 0.0318590566443863 
121, , layer3.1.conv2, 5, 0.06362941861152649, 0.03417382919324145 
122, , layer3.1.conv2, 5, 0.2290659248828888, 0.03095753121903969 
123, , layer3.1.conv2, 5, 0.2960040867328644, 0.028951572322093007 
124, , layer3.1.conv2, 5, 0.3161109685897827, 0.028371068896698753 
125, , layer3.1.conv2, 5, 0.344871461391449, 0.027011088179279812 
126, , layer3.1.conv2, 5, 0.35912445187568665, 0.026852260566783272 
127, , layer3.1.conv2, 5, 0.3799948990345001, 0.025911717234024356 
128, , layer3.1.conv2, 5, 0.389921098947525, 0.025965271908747208 
129, , layer3.1.conv2, 5, 0.4008653461933136, 0.025613093685636572 
130, , layer3.1.conv2, 5, 0.4113005995750427, 0.02535614135399457 
131, , layer3.1.conv2, 5, 0.4143548011779785, 0.025595242754440327 
