Epoch, Ratio of 1s (if random), Location of ASM (if needed), K (if needed), Accuracy, Loss
31, 0.8, , 5, 0.16339591145515442, 0.030714627266337034
32, 0.8, , 5, 0.16638225317001343, nan
33, 0.8, , 5, 0.16510239243507385, nan
34, 0.8, , 5, 0.16595563292503357, nan
35, 0.8, , 5, 0.16595563292503357, nan
36, 0.8, , 5, 0.16595563292503357, nan
37, 0.8, , 5, 0.16595563292503357, nan
38, 0.8, , 5, 0.16595563292503357, nan
39, 0.8, , 5, 0.16595563292503357, nan
40, 0.8, , 5, 0.16595563292503357, nan
41, 0.8, , 5, 0.16595563292503357, nan
42, 0.8, , 5, 0.16595563292503357, nan
43, 0.8, , 5, 0.16595563292503357, nan
44, 0.8, , 5, 0.16595563292503357, nan
45, 0.8, , 5, 0.16595563292503357, nan
46, 0.8, , 5, 0.16595563292503357, nan
47, 0.8, , 5, 0.16595563292503357, nan
48, 0.8, , 5, 0.16595563292503357, nan
49, 0.8, , 5, 0.16595563292503357, nan
50, 0.8, , 5, 0.16595563292503357, nan
51, 0.8, , 5, 0.16595563292503357, nan
52, 0.8, , 5, 0.16595563292503357, nan
53, 0.8, , 5, 0.16595563292503357, nan
54, 0.8, , 5, 0.16595563292503357, nan
55, 0.8, , 5, 0.16595563292503357, nan
56, 0.8, , 5, 0.164675772190094, nan
57, 0.8, , 5, 0.16595563292503357, nan
58, 0.8, , 5, 0.16595563292503357, nan
59, 0.8, , 5, 0.16595563292503357, nan
60, 0.8, , 5, 0.16595563292503357, nan
61, 0.6, , 5, 0.1616894155740738, 0.030716716531193705
62, 0.6, , 5, 0.15998293459415436, nan
63, 0.6, , 5, 0.15784983336925507, nan
64, 0.6, , 5, 0.16211603581905365, nan
65, 0.6, , 5, 0.15784983336925507, nan
66, 0.6, , 5, 0.15784983336925507, nan
67, 0.6, , 5, 0.15784983336925507, nan
68, 0.6, , 5, 0.15998293459415436, nan
69, 0.6, , 5, 0.15998293459415436, nan
70, 0.6, , 5, 0.15998293459415436, nan
71, 0.6, , 5, 0.16211603581905365, nan
72, 0.6, , 5, 0.15998293459415436, nan
73, 0.6, , 5, 0.1595563143491745, nan
74, 0.6, , 5, 0.15784983336925507, nan
75, 0.6, , 5, 0.15998293459415436, nan
76, 0.6, , 5, 0.1616894155740738, nan
77, 0.6, , 5, 0.15998293459415436, nan
78, 0.6, , 5, 0.15998293459415436, nan
79, 0.6, , 5, 0.16211603581905365, nan
80, 0.6, , 5, 0.1616894155740738, nan
81, 0.6, , 5, 0.15998293459415436, nan
82, 0.6, , 5, 0.15998293459415436, nan
83, 0.6, , 5, 0.15998293459415436, nan
84, 0.6, , 5, 0.16211603581905365, nan
85, 0.6, , 5, 0.1616894155740738, nan
86, 0.6, , 5, 0.15998293459415436, nan
87, 0.6, , 5, 0.1595563143491745, nan
88, 0.6, , 5, 0.15998293459415436, nan
89, 0.6, , 5, 0.15784983336925507, nan
90, 0.6, , 5, 0.15998293459415436, nan
91, 0.4, , 5, 0.1616894155740738, 0.03071671388661902
92, 0.4, , 5, 0.1616894155740738, 0.03071670473232204
93, 0.4, , 5, 0.1616894155740738, 0.030716696239168735
94, 0.4, , 5, 0.1616894155740738, 0.030716679914005788
95, 0.4, , 5, 0.1616894155740738, 0.030716661605411828
96, 0.4, , 5, 0.1616894155740738, 0.03071665245111485
97, 0.4, , 5, 0.1616894155740738, 0.030716648484252825
98, 0.4, , 5, 0.1616894155740738, 0.030716634752807358
99, 0.4, , 5, 0.1616894155740738, 0.03071662168250556
100, 0.4, , 5, 0.1616894155740738, 0.03071660728991642
101, 0.4, , 5, 0.1616894155740738, 0.03071659813561944
102, 0.4, , 5, 0.1616894155740738, 0.030716590913896266
103, 0.4, , 5, 0.1616894155740738, 0.030716579115024605
104, 0.4, , 5, 0.1616894155740738, 0.03071656345100533
105, 0.4, , 5, 0.1616894155740738, 0.030716550329846326
106, 0.4, , 5, 0.1616894155740738, 0.030716537971545405
107, 0.4, , 5, 0.1616894155740738, 0.030716531360108698
108, 0.4, , 5, 0.1616894155740738, 0.03071651884923616
109, 0.4, , 5, 0.1616894155740738, 0.03071650379550335
110, 0.4, , 5, 0.1616894155740738, 0.03071649342063344
111, 0.4, , 5, 0.1616894155740738, 0.030716486097195857
112, 0.4, , 5, 0.1616894155740738, 0.030716478214329015
113, 0.4, , 5, 0.1616894155740738, 0.03071646575431368
114, 0.4, , 5, 0.1616894155740738, 0.030716447394862515
115, 0.4, , 5, 0.1616894155740738, 0.030716446733718848
116, 0.4, , 5, 0.1616894155740738, 0.030716444801145038
117, 0.4, , 5, 0.1616894155740738, 0.030716444750287834
118, 0.4, , 5, 0.1616894155740738, 0.030716444089144163
119, 0.4, , 5, 0.1616894155740738, 0.030716443428000492
120, 0.4, , 5, 0.1616894155740738, 0.03071644210571315
121, 0.2, , 5, 0.1616894155740738, 0.03071671388661902
122, 0.2, , 5, 0.1616894155740738, 0.03071670473232204
123, 0.2, , 5, 0.1616894155740738, 0.030716696239168735
124, 0.2, , 5, 0.1616894155740738, 0.030716679914005788
125, 0.2, , 5, 0.1616894155740738, 0.030716661605411828
126, 0.2, , 5, 0.1616894155740738, 0.03071665245111485
127, 0.2, , 5, 0.1616894155740738, 0.030716648484252825
128, 0.2, , 5, 0.1616894155740738, 0.030716634752807358
129, 0.2, , 5, 0.1616894155740738, 0.03071662168250556
130, 0.2, , 5, 0.1616894155740738, 0.03071660728991642
131, 0.2, , 5, 0.1616894155740738, 0.03071659813561944
132, 0.2, , 5, 0.1616894155740738, 0.030716590913896266
133, 0.2, , 5, 0.1616894155740738, 0.030716579115024605
134, 0.2, , 5, 0.1616894155740738, 0.03071656345100533
135, 0.2, , 5, 0.1616894155740738, 0.030716550329846326
136, 0.2, , 5, 0.1616894155740738, 0.030716537971545405
137, 0.2, , 5, 0.1616894155740738, 0.030716531360108698
138, 0.2, , 5, 0.1616894155740738, 0.03071651884923616
139, 0.2, , 5, 0.1616894155740738, 0.03071650379550335
140, 0.2, , 5, 0.1616894155740738, 0.03071649342063344
141, 0.2, , 5, 0.1616894155740738, 0.030716486097195857
142, 0.2, , 5, 0.1616894155740738, 0.030716478214329015
143, 0.2, , 5, 0.1616894155740738, 0.03071646575431368
144, 0.2, , 5, 0.1616894155740738, 0.030716447394862515
145, 0.2, , 5, 0.1616894155740738, 0.030716446733718848
146, 0.2, , 5, 0.1616894155740738, 0.030716444801145038
147, 0.2, , 5, 0.1616894155740738, 0.030716444750287834
148, 0.2, , 5, 0.1616894155740738, 0.030716444089144163
149, 0.2, , 5, 0.1616894155740738, 0.030716443428000492
150, 0.2, , 5, 0.1616894155740738, 0.03071644210571315
