Epoch, Ratio of 1s (if random), Location of ASM (if needed), K (if needed), Accuracy, Loss
1, 1.0, , 1, 0.11257485300302505, 0.03146292356673829 
2, 1.0, , 1, 0.113772451877594, nan 
3, 1.0, , 1, 0.11317365616559982, nan 
4, 1.0, , 1, 0.11317365616559982, nan 
5, 1.0, , 1, 0.11317365616559982, nan 
6, 1.0, , 1, 0.11317365616559982, nan 
7, 1.0, , 1, 0.11317365616559982, nan 
8, 1.0, , 1, 0.11317365616559982, nan 
9, 1.0, , 1, 0.11317365616559982, nan 
10, 1.0, , 1, 0.11317365616559982, nan 
11, 1.0, , 1, 0.11317365616559982, nan 
12, 1.0, , 1, 0.11317365616559982, nan 
13, 1.0, , 1, 0.11317365616559982, nan 
14, 1.0, , 1, 0.11317365616559982, nan 
15, 1.0, , 1, 0.11317365616559982, nan 
16, 1.0, , 1, 0.11317365616559982, nan 
17, 1.0, , 1, 0.11317365616559982, nan 
18, 1.0, , 1, 0.11317365616559982, nan 
19, 1.0, , 1, 0.11317365616559982, nan 
20, 1.0, , 1, 0.11317365616559982, nan 
21, 1.0, , 1, 0.11317365616559982, nan 
22, 1.0, , 1, 0.11317365616559982, nan 
23, 1.0, , 1, 0.11317365616559982, nan 
24, 1.0, , 1, 0.11317365616559982, nan 
25, 1.0, , 1, 0.11317365616559982, nan 
26, 1.0, , 1, 0.11317365616559982, nan 
27, 1.0, , 1, 0.11317365616559982, nan 
28, 1.0, , 1, 0.11317365616559982, nan 
29, 1.0, , 1, 0.11317365616559982, nan 
30, 1.0, , 1, 0.11317365616559982, nan 
31, 1.0, , 10, 0.11796407401561737, 0.07454763215459036 
32, 1.0, , 10, 0.11317365616559982, nan 
33, 1.0, , 10, 0.11317365616559982, nan 
34, 1.0, , 10, 0.11317365616559982, nan 
35, 1.0, , 10, 0.11317365616559982, nan 
36, 1.0, , 10, 0.11317365616559982, nan 
37, 1.0, , 10, 0.11137724667787552, nan 
38, 1.0, , 10, 0.11317365616559982, nan 
39, 1.0, , 10, 0.11317365616559982, nan 
40, 1.0, , 10, 0.11497005820274353, nan 
41, 1.0, , 10, 0.11317365616559982, nan 
42, 1.0, , 10, 0.11317365616559982, nan 
43, 1.0, , 10, 0.11317365616559982, nan 
44, 1.0, , 10, 0.11317365616559982, nan 
45, 1.0, , 10, 0.11317365616559982, nan 
46, 1.0, , 10, 0.11317365616559982, nan 
47, 1.0, , 10, 0.11497005820274353, nan 
48, 1.0, , 10, 0.11317365616559982, nan 
49, 1.0, , 10, 0.11317365616559982, nan 
50, 1.0, , 10, 0.11317365616559982, nan 
51, 1.0, , 10, 0.11317365616559982, nan 
52, 1.0, , 10, 0.11317365616559982, nan 
53, 1.0, , 10, 0.11317365616559982, nan 
54, 1.0, , 10, 0.11317365616559982, nan 
55, 1.0, , 10, 0.11317365616559982, nan 
56, 1.0, , 10, 0.11317365616559982, nan 
57, 1.0, , 10, 0.11317365616559982, nan 
58, 1.0, , 10, 0.11317365616559982, nan 
59, 1.0, , 10, 0.11317365616559982, nan 
60, 1.0, , 10, 0.11317365616559982, nan 
61, 1.0, , 1, 0.11257485300302505, 0.03146292356673829 
62, 1.0, , 1, 0.113772451877594, nan 
63, 1.0, , 1, 0.11317365616559982, nan 
64, 1.0, , 1, 0.11317365616559982, nan 
65, 1.0, , 1, 0.11317365616559982, nan 
66, 1.0, , 1, 0.11317365616559982, nan 
67, 1.0, , 1, 0.11317365616559982, nan 
68, 1.0, , 1, 0.11317365616559982, nan 
69, 1.0, , 1, 0.11317365616559982, nan 
70, 1.0, , 1, 0.11317365616559982, nan 
71, 1.0, , 1, 0.11317365616559982, nan 
72, 1.0, , 1, 0.11317365616559982, nan 
73, 1.0, , 1, 0.11317365616559982, nan 
74, 1.0, , 1, 0.11317365616559982, nan 
75, 1.0, , 1, 0.11317365616559982, nan 
76, 1.0, , 1, 0.11317365616559982, nan 
77, 1.0, , 1, 0.11317365616559982, nan 
