Epoch, Ratio of 1s (if random), Location of ASM (if needed), K (if needed), Accuracy, Loss
1, 1.0, , 5, 0.19725121557712555, 0.03790275044464282 
2, 1.0, , 5, 0.1964876502752304, nan 
3, 1.0, , 5, 0.1964876502752304, nan 
4, 1.0, , 5, 0.1964876502752304, nan 
5, 1.0, , 5, 0.1964876502752304, nan 
6, 1.0, , 5, 0.1964876502752304, nan 
7, 1.0, , 5, 0.1964876502752304, nan 
8, 1.0, , 5, 0.1964876502752304, nan 
9, 1.0, , 5, 0.1964876502752304, nan 
10, 1.0, , 5, 0.1964876502752304, nan 
11, 1.0, , 5, 0.1964876502752304, nan 
12, 1.0, , 5, 0.1964876502752304, nan 
13, 1.0, , 5, 0.1964876502752304, nan 
14, 1.0, , 5, 0.1964876502752304, nan 
15, 1.0, , 5, 0.1964876502752304, nan 
16, 1.0, , 5, 0.1964876502752304, nan 
17, 1.0, , 5, 0.1964876502752304, nan 
18, 1.0, , 5, 0.1964876502752304, nan 
19, 1.0, , 5, 0.1964876502752304, nan 
20, 1.0, , 5, 0.1964876502752304, nan 
21, 1.0, , 5, 0.1964876502752304, nan 
22, 1.0, , 5, 0.1964876502752304, nan 
23, 1.0, , 5, 0.1964876502752304, nan 
24, 1.0, , 5, 0.1964876502752304, nan 
25, 1.0, , 5, 0.1964876502752304, nan 
26, 1.0, , 5, 0.1964876502752304, nan 
27, 1.0, , 5, 0.1964876502752304, nan 
28, 1.0, , 5, 0.1964876502752304, nan 
29, 1.0, , 5, 0.1964876502752304, nan 
30, 1.0, , 5, 0.1964876502752304, nan 
31, 0.8, , 5, 0.19674217700958252, 0.030703964413016406 
32, 0.8, , 5, 0.19572409987449646, nan 
33, 0.8, , 5, 0.19597862660884857, nan 
34, 0.8, , 5, 0.1964876502752304, nan 
35, 0.8, , 5, 0.1964876502752304, nan 
36, 0.8, , 5, 0.1964876502752304, nan 
37, 0.8, , 5, 0.1964876502752304, nan 
38, 0.8, , 5, 0.1964876502752304, nan 
39, 0.8, , 5, 0.1964876502752304, nan 
40, 0.8, , 5, 0.19776023924350739, nan 
41, 0.8, , 5, 0.1964876502752304, nan 
42, 0.8, , 5, 0.19521506130695343, nan 
43, 0.8, , 5, 0.1964876502752304, nan 
44, 0.8, , 5, 0.1964876502752304, nan 
45, 0.8, , 5, 0.1964876502752304, nan 
46, 0.8, , 5, 0.1964876502752304, nan 
47, 0.8, , 5, 0.1964876502752304, nan 
48, 0.8, , 5, 0.19597862660884857, nan 
49, 0.8, , 5, 0.1964876502752304, nan 
50, 0.8, , 5, 0.1964876502752304, nan 
51, 0.8, , 5, 0.1964876502752304, nan 
52, 0.8, , 5, 0.1964876502752304, nan 
53, 0.8, , 5, 0.1964876502752304, nan 
54, 0.8, , 5, 0.1964876502752304, nan 
55, 0.8, , 5, 0.1964876502752304, nan 
56, 0.8, , 5, 0.1964876502752304, nan 
57, 0.8, , 5, 0.19572409987449646, nan 
58, 0.8, , 5, 0.1964876502752304, nan 
59, 0.8, , 5, 0.1964876502752304, nan 
60, 0.8, , 5, 0.1964876502752304, nan 
61, 0.6, , 5, 0.19674217700958252, 0.030703934648620108 
62, 0.6, , 5, 0.19572409987449646, nan 
63, 0.6, , 5, 0.19572409987449646, nan 
64, 0.6, , 5, 0.19572409987449646, nan 
